Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,AUS,GDP (current US$),18606786874,19683055213,19922723709,21539926084,23801097547,25977153097,27309889125,30444618658,32716989584,36686079068,41337215814,45222309329,52051401869,63844971172,88981577008,97333060221,105101474852,110387703602,118535980149,134941497217,150032311978,176953442471,194104601125,177333645297,193593551893,180573751630,182368494684,189400476443,236065919674,299767934207,311326664102,325902990346,325480273783,312126194491,322807333103,367915800416,401089529590,435323994365,399404463135,389098884572,415576210513,379083932596,395342716618,467390797903,614166310997,695075176665,747556154537,853955405512,1055127126231,928042998086,1147589183476,1397907916790,1546508558466,1576335282651,1467504819609,1350534154256,1206685107002,1326882872011,1428529571351,1392.0B,1327.8B,1542.7B
Austria,AUT,GDP (current US$),6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15373005557,17858486067,22059612477,29515467707,35189299912,40059206763,42959976222,51545758888,62052259073,73937296963,82058912997,71034228443,71275287570,72121016547,67985344887,69386774408,99036164939,124168442534,133339397080,133105805512,166463386179,173794177961,195078126722,190379720809,203535242742,241038283063,237250948791,212790348405,218259904402,217259147050,197289625480,197508773215,214394866675,262273631180,301457562039,316092273276,336280064332,389185571506,432051935643,401758735822,392275107259,431685217368,409401816051,430190979706,442584815286,381971148531,395837353031,417261151845,455168151939,445.0B,433.3B,477.1B
Azerbaijan,AZE,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006036,8792365811,446305556,1570000000,1193312102,2417355840,3176333837,3962238113,4446368571,4581432039,5272798391,5707720391,6235856820,7276753895,8680370408,13245716099,20982986344,33050343783,48852482960,44291490421,52909294792,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912,47112941176,48.2B,42.7B,54.6B
Burundi,BDI,GDP (current US$),195999990,202999992,213500006,232749998,260750008,158994963,165444571,178297143,183200000,190205714,242732571,252842286,246804571,304339840,345263492,420986667,448412754,547535556,610225556,782496667,919726667,969046667,1013222222,1082926304,987143931,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590,1000428394,869033856,972896268,893770806,808077223,870486066,876794723,825394490,784654424,915257323,1117113046,1273375020,1356199365,1611835902,1781455092,2032135247,2235820868,2333341375,2451606684,2705783272,3104003611,2639321196,2712324087,2660123624,2.6B,2.8B,2.9B
Belgium,BEL,GDP (current US$),11658722591,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26706196047,29821661870,37209418019,47743801490,56033077879,65678189097,71113882968,82839905459,101246526194,116315456797,126829314388,104730018470,92095926188,87184239053,83349530159,86268264148,120018787249,149394404106,162299103675,164221056511,205331747948,210510999409,234781652447,224721795709,244884129491,288025588396,279201433225,252708051421,258528339631,258245733221,236792460312,236746141604,258383599375,318082528507,369214712443,385714762230,408259840869,470922156309,517328087920,483254171098,481420882905,523330354138,496152879925,521791015247,535390200131,462335574841,476062757357,502764720556,543347368038,535.4B,521.7B,599.9B
Benin,BEN,GDP (current US$),226195579,235668222,236434907,253927646,269818988,289908721,302925281,306222000,326323097,330748211,333627758,335072975,410331901,504376036,554654787,676870140,698408244,750049739,928843305,1186231265,1405251547,1291119965,1267778489,1095348303,1051133927,1045712703,1336102041,1562412030,1620246187,1502294411,1959965244,1986437860,1695315306,2274557914,1598075932,2169627251,2361116588,2268301538,2455092582,3677394292,3519991326,3666222600,4194342849,5349258334,6190270756,6567654494,7034111651,8169048690,9787735426,9738626993,9535344283,10693321954,11141358945,12517845732,13284528654,11388160958,11821066153,12701654743,14262407011,14.4B,15.7B,17.8B
Burkina Faso,BFA,GDP (current US$),330442817,350247237,379567023,394040588,410321618,422916848,433889832,450753993,460442678,478298598,458404330,482411104,578595584,674773518,751133331,939972703,976547164,1131224818,1475583383,1748480982,1928719477,1775842026,1754449845,1600278756,1459880019,1552493068,2036303381,2369834650,2616040646,2615587726,3101300642,3135045684,3356692518,3199536228,1895290623,2379518099,2586550747,2447668985,2804902248,3389566983,2968369991,3190371050,3622350204,4740768355,5451688868,6146352742,6547420134,7625723124,9451436359,9450697336,10109618964,12080296644,12561016091,13444301139,13943016924,11832159276,12833363370,14106956830,15890065020,16.2B,17.9B,19.7B
Bangladesh,BGD,GDP (current US$),4274893913,4817580184,5081413340,5319458351,5386054619,5906636557,6439687598,7253575399,7483685474,8471006101,8992721809,8751842840,6288245867,8086725729,12512460520,19448348073,10117113333,9651149302,13281767143,15565480322,18138049096,20249694002,18525399202,17609048822,18920840000,22278423077,21774033333,24298032258,26579005760,28781714764,31598341233,30957483950,31708874594,33166519418,33768660883,37939748769,46438484108,48244309133,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,102477791472,115279077465,128637938711,133355749482,149990451022,172885454931,195078678697,265236247989,293754646182,321379023557,351.2B,373.9B,416.3B
Bulgaria,BGR,GDP (current US$),,,,,,,,,,,,,,,,,,,,,19839230769,19870000000,19342000000,16563666667,17594944444,17155421053,20249294118,28101000000,22555941176,21988444444,20632090909,10943548387,10350515464,10829710145,9697416974,18983303571,12294221473,11315986087,15030695297,13627323285,13245833844,14183497963,16402846413,21144983552,26157894737,29869283400,34379808889,44405101470,54438966420,52023504656,50682061053,57678241024,54300857424,55810138436,57082011260,50781996713,53953897624,59199447421,66363422450,68.9B,69.9B,80.3B
Bahrain,BHR,GDP (current US$),,,,,,,,,,,,,,,,,,,,,3072698328,3467819149,3645744681,3735106383,3905585106,3651861702,3052393617,3392021011,3702393617,3863563830,4229787234,4616223404,4751063830,5200265957,5567553457,5849467819,6101861436,6349202394,6183776596,6621010372,9062898936,8976196809,9593510638,11074813830,13150159574,15968723404,18504760638,21730000000,25710904255,22938218085,25713271277,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37802005319,38.7B,34.7B,38.9B
